Euromillions
Past Draws Results Year 2014
Date              	1  	2  	3  	4  	5  	Star1 	Star2 	
30 December 2014  	06 	18 	39 	44 	50 	08    	11    	
26 December 2014  	17 	26 	27 	45 	49 	02    	03    	
23 December 2014  	08 	09 	19 	25 	49 	02    	10    	
19 December 2014  	23 	29 	31 	39 	44 	05    	08    	
16 December 2014  	03 	07 	12 	13 	25 	05    	08    	
12 December 2014  	02 	15 	28 	31 	37 	04    	06    	
09 December 2014  	01 	03 	31 	42 	46 	04    	11    	
05 December 2014  	05 	08 	37 	47 	48 	02    	03    	
02 December 2014  	03 	15 	25 	44 	49 	01    	09    	
28 November 2014  	06 	10 	15 	23 	41 	04    	10    	
25 November 2014  	03 	07 	25 	32 	36 	01    	06    	
21 November 2014  	04 	07 	28 	32 	37 	05    	10    	
18 November 2014  	02 	03 	17 	36 	38 	04    	11    	
14 November 2014  	17 	32 	36 	38 	48 	05    	08    	
11 November 2014  	02 	14 	21 	36 	46 	07    	11    	
07 November 2014  	13 	25 	32 	38 	46 	01    	10    	
04 November 2014  	01 	06 	13 	17 	26 	03    	05    	
31 October 2014   	10 	13 	20 	33 	41 	03    	09    	
28 October 2014   	10 	15 	17 	40 	45 	01    	02    	
24 October 2014   	03 	09 	20 	30 	42 	01    	06    	
21 October 2014   	20 	21 	27 	33 	40 	03    	10    	
17 October 2014   	01 	13 	40 	48 	49 	08    	10    	
14 October 2014   	04 	05 	15 	23 	32 	03    	07    	
10 October 2014   	06 	29 	42 	45 	47 	09    	10    	
07 October 2014   	09 	21 	28 	30 	38 	01    	08    	
03 October 2014   	04 	13 	23 	48 	50 	05    	10    	
30 September 2014 	03 	13 	15 	33 	42 	05    	07    	
26 September 2014 	13 	27 	35 	46 	47 	01    	02    	
23 September 2014 	12 	13 	14 	29 	35 	01    	07    	
19 September 2014 	06 	08 	34 	38 	48 	03    	09    	
16 September 2014 	04 	29 	30 	35 	50 	02    	04    	
12 September 2014 	09 	13 	26 	31 	33 	07    	11    	
09 September 2014 	08 	15 	19 	24 	35 	08    	10    	
05 September 2014 	01 	18 	23 	46 	50 	03    	09    	
02 September 2014 	05 	25 	31 	39 	45 	01    	08    	
29 August 2014    	02 	09 	26 	32 	38 	03    	06    	
26 August 2014    	10 	22 	36 	45 	48 	04    	11    	
22 August 2014    	04 	17 	29 	35 	49 	01    	02    	
19 August 2014    	04 	07 	11 	34 	47 	07    	08    	
15 August 2014    	04 	05 	21 	23 	30 	08    	10    	
12 August 2014    	07 	16 	19 	22 	33 	02    	05    	
08 August 2014    	21 	29 	35 	43 	46 	01    	09    	
05 August 2014    	05 	07 	19 	21 	42 	05    	11    	
01 August 2014    	24 	44 	46 	48 	50 	05    	10    	
29 July 2014      	10 	23 	35 	40 	43 	03    	09    	
25 July 2014      	09 	10 	12 	24 	43 	05    	09    	
22 July 2014      	01 	24 	43 	45 	50 	05    	08    	
18 July 2014      	01 	11 	29 	41 	43 	03    	11    	
15 July 2014      	15 	18 	20 	27 	34 	01    	03    	
11 July 2014      	05 	22 	35 	38 	49 	04    	07    	
08 July 2014      	08 	18 	22 	24 	27 	04    	11    	
04 July 2014      	04 	18 	39 	43 	47 	02    	06    	
01 July 2014      	18 	22 	25 	27 	39 	05    	10    	
27 June 2014      	31 	33 	34 	39 	45 	02    	10    	
24 June 2014      	01 	07 	20 	21 	48 	04    	07    	
20 June 2014      	05 	15 	25 	38 	49 	01    	02    	
17 June 2014      	11 	13 	37 	40 	48 	08    	09    	
13 June 2014      	16 	18 	22 	28 	46 	09    	11    	
10 June 2014      	12 	18 	21 	32 	33 	01    	11    	
06 June 2014      	07 	25 	34 	40 	49 	09    	11    	
03 June 2014      	02 	15 	32 	39 	44 	05    	10    	
30 May 2014       	05 	24 	27 	41 	45 	06    	07    	
27 May 2014       	07 	13 	16 	25 	26 	01    	06    	
23 May 2014       	03 	08 	31 	34 	47 	09    	11    	
20 May 2014       	05 	33 	36 	38 	47 	04    	09    	
16 May 2014       	23 	26 	29 	37 	40 	03    	04    	
13 May 2014       	04 	13 	30 	34 	47 	02    	06    	
09 May 2014       	03 	21 	26 	28 	45 	07    	10    	
06 May 2014       	05 	19 	24 	31 	37 	01    	09    	
02 May 2014       	04 	30 	31 	38 	42 	02    	11    	
29 April 2014     	18 	23 	26 	35 	44 	03    	11    	
25 April 2014     	13 	21 	24 	44 	49 	01    	09    	
22 April 2014     	13 	15 	20 	24 	46 	01    	08    	
18 April 2014     	21 	24 	31 	39 	47 	03    	07    	
15 April 2014     	03 	14 	26 	47 	50 	07    	11    	
11 April 2014     	08 	12 	19 	30 	33 	04    	11    	
08 April 2014     	11 	18 	29 	42 	49 	04    	11    	
04 April 2014     	06 	10 	28 	45 	50 	10    	11    	
01 April 2014     	16 	18 	26 	38 	44 	08    	10    	
28 March 2014     	03 	04 	19 	28 	43 	03    	07    	
25 March 2014     	07 	20 	26 	28 	50 	02    	08    	
21 March 2014     	07 	30 	37 	39 	42 	05    	07    	
